Name,Effector type,Action,Effector construct,dCas protein,Architecture,Organism,References,DOI link,Graph. Abstract link
,noncatalytic,repression,Mix1,SpdCas9,Direct fusion (C),Yeast,"1. Miles W. Gander, et al.  Digital logic circuits in yeast with CRISPR-dCas9 NOR gates. (2017);
2. Luis A Muñoz-Miranda, et al. CRISPRi-induced transcriptional regulation of IAH1 gene and its influence on volatile compounds profile in Kluyveromyces marxianus DU3. (2024)","https://doi.org/10.1038/ncomms15459;
https://doi.org/10.1007/s11274-023-03811-0","https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fncomms15459/MediaObjects/41467_2017_Article_BFncomms15459_Fig1_HTML.jpg ;
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11274-023-03811-0/MediaObjects/11274_2023_3811_Fig1_HTML.png "
,noncatalytic,repression,Mix1,FndCas12a,Direct fusion (C),Yeast,"Haotian Zhai, et al. CRISPR-mediated protein-tagging signal amplification systems for efficient transcriptional activation and repression in Saccharomyces cerevisiae. (2022)",https://doi.org/10.1093/nar/gkac463,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/50/10/10.1093_nar_gkac463/1/m_gkac463fig1.jpeg?Expires=1748052776&Signature=XWd7pG9TTkSo6vxv7UMmBn5Q-XANW2NlB4oht0mFIjG-HzhXGRV-FlDyzjHL7aEhw3~U0x-H6xVMTkz0FWgkashmXRWz1arPvvpqdzz~iWCOAUnZzgKqqsaOZq7FiKSYuJ5UQeahB39AFcq-Kn~kxmzq7MLRRdu8JE3qTj5U7Ybm8QtBdvG9xb0Z0B4kV7hjRmYAbYuytQ-ll-t3ZIy9QtMASv4sUh~QIPtTA0MYkQNyZTKwpHKGUUiJ5BiHfAQaD2eNEDQm8QyKJuw7cid0tu1t7HRAl4sbweYxnBj~yXBtLJ~OQdqgoZq6qJ-yOvXOA7HfynpVHxQIVq-Oa-uChg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,repression,TUP1,SpdCas9,Direct fusion (C),Yeast,"Haotian Zhai, et al. CRISPR-mediated protein-tagging signal amplification systems for efficient transcriptional activation and repression in Saccharomyces cerevisiae. (2022)",https://doi.org/10.1093/nar/gkac464,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/50/12/10.1093_nar_gkac464/1/m_gkac464fig1.jpeg?Expires=1747873088&Signature=PNfMpuHBrjl4olOPEHA-cgE5hJi8ARs3cJpScrB726TWJqqgmQSAc8ycXwxI6QQ5nvTWh0kV9jIBorUuRWRTfcHqgdXuALMuh7dGGyhht-kU4i1ozMGeCMIhvOoWv0AmxYiEaOD4MHJuDA4X5yomrL0N2gxcy8Fr-pRcxQRUR07ixa96xuhPPPVJAL3XCjherH-ZMcPmd~eCSSyag-n5a3XQXsvrAcLLHE6Y5FaokaAmQS~RSLGq526lX4dPCtzpeH5DAq~GQ4HjKe9hYsG7-LYPsUSEGZoQw4xxhPLdO9ooiqnsq3zwRZbdTmnPb7WbMltlgmYuvF4JzxXCe6hoPw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,repression,TUP1,FndCas12a,Direct fusion (C),Yeast,"Haotian Zhai, et al. CRISPR-mediated protein-tagging signal amplification systems for efficient transcriptional activation and repression in Saccharomyces cerevisiae. (2022)",https://doi.org/10.1093/nar/gkac465,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/50/16/10.1093_nar_gkac465/1/m_gkac465fig1.jpeg?Expires=1747856591&Signature=X6lzl5r-bDb0JsukaQHQEBueE4w8RqtjC4HJohr42HHYw8GM8Rpf~tqygq9--yNeAsotJUQ2LhDIRKRw-0KBF4EbrUnH-UO~g6NFszIrZ77ZC~5oA0examrh8W5qKIM3F6Lb~aJ9lQdcTegNb40BLc7HWARC7cv-R92sAjG2D8ZSuTaQYLripXrSWhrgrIRbNYlXTGok~uSleMd~bsGQLrfG8jx8q22IYyAvIqzrIPfkFewQdgc5LbelgOdVn0eregFAerDYdk1JXsV7AD7SYvzm~TNnBGUf0jshWwHMVolAvYDDN3Qx7yGJxKbafVdohXJiN6Ax5DW0a7WPwser~Q__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,repression,MIG1,SpdCas9,Direct fusion (C),Yeast,"Haotian Zhai, et al. CRISPR-mediated protein-tagging signal amplification systems for efficient transcriptional activation and repression in Saccharomyces cerevisiae. (2022)",https://doi.org/10.1093/nar/gkac466,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/50/W1/10.1093_nar_gkac466/1/m_gkac466figgra1.jpeg?Expires=1747853987&Signature=E50EtPGndquxt2DOcMeH4G2Hs7HWGmDL1HsjNPblgkL0eEqqO5mXUJr17GRez~XlI~V1FuIwpjJvRIYJqMw~j8V6OQzp2UofGa8kngDwh8927GI4rQ-wHLftgXsB6oF~Q6GSXTcnHAib6vL~KuL-yZaqg5mgUv59wj~K9fZsmpcunzcSX~zzY4-X-hOnhHfjaV4WIKx7RaRMvhLiaS0rS-kPva5v7y3Uph-KT8Nzy0WRJXGShLuZZeDn~Mu39lfRomogVIdb3r8AZUoAlytSa667COyiW~W6J~YrNd~rMBeaX0g10ikQp7ncPHFYramD7hzF5SofaDlI5bzSKzc9Bg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,repression,MIG1,FndCas12a,Direct fusion (C),Yeast,"Haotian Zhai, et al. CRISPR-mediated protein-tagging signal amplification systems for efficient transcriptional activation and repression in Saccharomyces cerevisiae. (2022)",https://doi.org/10.1093/nar/gkac467,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/50/11/10.1093_nar_gkac467/1/m_gkac467fig1.jpeg?Expires=1747850618&Signature=rulVDmYVkHtRrYnSwpXFW6fskF1pV2Z9EhoWF53yW-cw8foTiSLiEMvaGSL-yl30G6KSZTBXl9z5INu0ltHlCAbbr5WnGl2YwogU6avLywsgMt-CigIuVYO8ISiu7X-ZthdcuMQI52NMdEPdbsNiDH4IZm9wa4n0yrnsI9gVxxpatehVcM0YX74T8n2-fqBn3OIVnUpIqkqAL-i-KasUoUuRPF88wUOSxuXYEK-6DSMIvb~yxeIIE4DaxGpjdJcw5oXpvAv-1k3p~cE9WPrr-5cPrem6-RgFwFVMDvSH~wQKTbP9XBV2ujLxeC9sh8fQBcO9GUgDqzeDCtxLj0EfIA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,"Activation (DNA
demethylation)",TET1,SpdCas9,Direct fusion (C),"Human, Plant, Animal","X. Shawn Liu, et al. Editing DNA Methylation in the Mammalian Genome. (2016)",https://doi.org/10.1016/j.cell.2016.08.056,https://ars.els-cdn.com/content/image/1-s2.0-S0092867416311539-fx1.jpg
,catalytic,"Activation (DNA
demethylation)",PUFa-TET1,SpdCas9,"Direct fusion PBSa (C), PBSa-PUFa-binding",Human,"Aziz Taghbalout, et al. Enhanced CRISPR-based DNA demethylation by Casilio-ME-mediated RNA-guided coupling of methylcytosine oxidation and DNA repair pathways (2019)",https://doi.org/10.1038/s41467-019-12339-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-12339-7/MediaObjects/41467_2019_12339_Fig1_HTML.png?
,catalytic,Activation (DNA cytosine demethylation),PUFa-NEIL2-TET1,SpdCas9,"Direct fusion PBSa (C), PBSa-PUFa-binding",Human,"Aziz Taghbalout, et al. Enhanced CRISPR-based DNA demethylation by Casilio-ME-mediated RNA-guided coupling of methylcytosine oxidation and DNA repair pathways (2019)",https://doi.org/10.1038/s41467-019-12339-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-12339-7/MediaObjects/41467_2019_12339_Fig1_HTML.png?
,catalytic,"Activation (DNA
demethylation)",scFv-TET1,SpdCas9,"Direct fusion GCN4 (C), scFV-GCN4 binding",Human,"Aziz Taghbalout, et al. Enhanced CRISPR-based DNA demethylation by Casilio-ME-mediated RNA-guided coupling of methylcytosine oxidation and DNA repair pathways (2019)",https://doi.org/10.1038/s41467-019-12339-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-12339-7/MediaObjects/41467_2019_12339_Fig1_HTML.png?
,catalytic,"Activation (DNA
demethylation)",TET1+Split MCP-TET1,SpdCas9,"Direct fusion TET1 (C), gRNA-aptamer binding (MS2-based)",Human,"Aziz Taghbalout, et al. Enhanced CRISPR-based DNA demethylation by Casilio-ME-mediated RNA-guided coupling of methylcytosine oxidation and DNA repair pathways (2019)",https://doi.org/10.1038/s41467-019-12339-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-12339-7/MediaObjects/41467_2019_12339_Fig1_HTML.png?
,catalytic,"Activation (DNA
demethylation)",TET2,dCasRx (dCas13),fusion,,"Tao Zhang, et al. Programmable RNA 5-methylcytosine (m5C) modification of cellular RNAs by dCasRx conjugated methyltransferase and demethylase. (2024)",https://doi.org/10.1093/nar/gkae110,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/52/6/10.1093_nar_gkae110/1/m_gkae110figgra1.jpeg?Expires=1747919323&Signature=R8I2miRV9XzBg0jtsYxO7DVzuFn6qhp1luJg7K7v0OaYQBJKw2TKhHcPQZcwZh2ZfuPU4jOCZBzzmJELRCH9FZcAbkKk4CEl4OA7abegGH0-A552dk7-pSP3J7ZiTald03JIUqLrb7IsDxrzep3U5Sx4DPT6B-Ki2JrVZhjM~haDgcEimOAIDTSJBc3pmuxtEdGB1z6bfYtb8R51Nl3g8dEaXwrrKkp1vF2b3mX4ca5~XzOu0DQ~qepE8NlMOTr~qqPciVvV-kRbN1oWMkdJMqC60CNjAfuL1o-7ne7AaqAfeQC1-ltm8RD4BLH0~mATWr~aOUCvTjYv41ob9IppOw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,"Activation (DNA
demethylation)",TET3,SpdCas9,Direct fusion (C),"Aminal, human","Xingbo Xu, et al. High-fidelity CRISPR/Cas9- based gene-specific hydroxymethylation rescues gene expression and attenuates renal fibrosis. (2018)",https://doi.org/10.1038/s41467-018-05766-5,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-018-05766-5/MediaObjects/41467_2018_5766_Fig1_HTML.png
,catalytic,Activation (DNA cytosine demethylation),scFv-TET1 + scFv-VP64,dHFCas9,SunTag ,Human,Sumiyo Morita. et al. Synergistic Upregulation of Target Genes by TET1 and VP64 in the dCas9–SunTag Platform. (2020),https://doi.org/10.3390/ijms21051574,https://www.mdpi.com/ijms/ijms-21-01574/article_deploy/html/images/ijms-21-01574-g001-550.jpg
