Name,Effector type,Action,Effector construct,dCas protein,Architecture,Organism,References,DOI link,Graph. Abstract link
,catalytic,Repression (DNA cytosine methylation) ,DNMT3A + DNMT3L,SpdCas9,Direct fusion (C),Human,"Peter Stepper, et al. Efficient targeted DNA methylation with chimeric dCas9–Dnmt3a–Dnmt3L methyltransferase. (2016)",https://doi.org/10.1093/nar/gkw1112,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/4/10.1093_nar_gkw1112/5/m_gkw1112fig1.jpeg?Expires=1747879759&Signature=pm9Vs20EEE8hXwiNDOObryflV6hYL32li-n410VVO1I-JocuYCRgFh3SOXR61CcNUhTxNMiTmQ7rK52EP~mPugqH~0C0RD2eNGQQDXCHb-FqJ3KdDX9IuPazCobmDH-DTdM92ujJatIVUMWNV0n3AMRCkGpr7vqBaZJwuygdbbLOxwq8SWKuHbV8f4zI8rYOl093EtQPXEZbUkW6A58JvUVM9vd~cmdVxcXnuyyrgU6OvWAKuJxI2U8Dn1HdnV74bZSctNxxiofbKEUtbZYN09fW2FFHgbWbEfhc0Rz6r8ZtgPo~JljdOKhbFkTOtJuKSdWe4JEqIXJ9T0aRdHQq7w__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
CRISRPoff,"mixed 
(catalytic \ non-catalytic)",Repression (DNA cytosine methylation),KRAB + DNMT3A + DNMT3L,SpdCas9,Direct fusion (C),"Human, Animal","James K Nuñez, et al. Genome-wide programmable transcriptional memory by CRISPR-based epigenome editing. (2021)",https://doi.org/10.1016/j.cell.2021.03.025,https://ars.els-cdn.com/content/image/1-s2.0-S0092867421003536-fx1.jpg
,catalytic,Repression (DNA methylation) ,MQ1,SpdCas9,Direct fusion (C),"Human, Animal","Yong Lei, et al. Targeted DNA methylation in vivo using an engineered dCas9-MQ1 fusion protein. (2017)
",https://doi.org/10.1038/ncomms16026,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fncomms16026/MediaObjects/41467_2017_Article_BFncomms16026_Fig1_HTML.jpg
,catalytic,Repression (DNA methylation) ,M. HpaII,SpdCas9,Direct fusion (C),Human,"Xiong, T., Meister, G.E., Workman, R.E. et al. Targeted DNA methylation in human cells using engineered dCas9-methyltransferases. (2017)",https://doi.org/10.1038/s41598-017-06757-0,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41598-017-06757-0/MediaObjects/41598_2017_6757_Fig1_HTML.jpg
,catalytic,Activation (Histone methylation  H3K4),PRDM9,SpdCas9,Direct fusion (C),Human,"David Cano-Rodriguez, et al. Writing of H3K4Me3 overcomes epigenetic silencing in a sustained but context-dependent manner. (2016)",https://doi.org/10.1038/ncomms12284,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fncomms12284/MediaObjects/41467_2016_Article_BFncomms12284_Fig1_HTML.jpg
,catalytic,"Histone acetylation
H3K27",p300,SpdCas9,Direct fusion (C),"Human, Plant","1. Isaac B Hilton, et al. Epigenome editing by a CRISPR-Cas9-based acetyltransferase activates genes from promoters and enhancers. (2015);
2. Sara Selma. Crisp and quiet: A novel programmable transcriptional repressor in plants. (2024)","https://doi.org/10.1038/nbt.3199 ;
https://doi.org/10.1093/plphys/kiae211","https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fnbt.3199/MediaObjects/41587_2015_Article_BFnbt3199_Fig1_HTML.jpg ;
https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/plphys/195/3/10.1093_plphys_kiae211/1/m_kiae211f1.jpeg?Expires=1747910843&Signature=2G8DP5~UtSnKKd-ITYWUSEdvfUUwsmjYDn2lbLj466zRwpW7Y~lqTUDMql-21URSwY~QArPKDimRY7kjNnbnyLPV6Apm1IGusiMAO8EPFb54~rb3rGja86xJjhL~Z9PMdbwKXDfw0CP7Z-EqyJ3jl7nUAIfM0sY~OcVJ0zWmMQ5EjN~hvJG-V5eb1UKZ3k7TOzOe30ZVUVXPfE4sYsuz6zrt5dLPqF~7k34QVgJPNrQGU7PsbNbUiPoNTZ4XlyqUp1NqksYqNfXBZ~pVg0zm0EKntImNgGmxGvIp5FVAkPB1cGIISew6Y4WttVMpDY25wahC9a9WBKMir4~f9R772g__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
"
,catalytic,"Histone acetylation
H3K27",p300,SadCas9,Direct fusion (C),Human,"1. Isaac B Hilton, et al. Epigenome editing by a CRISPR-Cas9-based acetyltransferase activates genes from promoters and enhancers. (2015); ",https://doi.org/10.1038/nbt.3199,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fnbt.3199/MediaObjects/41587_2015_Article_BFnbt3199_Fig1_HTML.jpg
,catalytic,"Histone acetylation
H3K27",p300 I1417N,SpdCas9,Direct fusion (C),Human,"Goell J, Li J, Mahata B, et al. Tailoring a CRISPR/Cas-based Epigenome Editor for Programmable Chromatin Acylation and Decreased Cytotoxicity. (2024)",https://doi.org/10.1101/2024.09.22.611000,https://www.biorxiv.org/content/biorxiv/early/2024/09/22/2024.09.22.611000/F1.medium.gif
,catalytic,Histone methylation  H3K79,DOT1L,SpdCas9,Direct fusion (C),Human,"Cano-Rodriguez, D., Gjaltema, R., Jilderda, L. et al. Writing of H3K4Me3 overcomes epigenetic silencing in a sustained but context-dependent manner. (2016)",https://doi.org/10.1038/ncomms12284,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fncomms12284/MediaObjects/41467_2016_Article_BFncomms12284_Fig1_HTML.jpg
,catalytic,Histone methylation  H3K4 ,SMYD3,SpdCas9,Direct fusion (C),Human,"Xiaoshu Xu, et al. A CRISPR–dCas Toolbox for Genetic Engineering and Synthetic Biology. (2019)",https://doi.org/10.1016/j.jmb.2018.06.037,https://ars.els-cdn.com/content/image/1-s2.0-S0022283618306661-fx1.jpg
,catalytic,Histone lysine acetylation (activation),GCN5,SpdCas9,Direct fusion (C),Animal,"Bo Xiao, et al. Epigenetic editing by CRISPR/dCas9 in Plasmodium falciparum. (2018)",https://doi.org/10.1073/pnas.1813542116,https://www.pnas.org/cms/10.1073/pnas.1813542116/asset/c34e6601-c4ed-4d27-b009-55052699ceb5/assets/graphic/pnas.1813542116fig01.jpeg
,catalytic,Histone methylation  H3K4 ,MLL3/4,SpdCas9,Direct fusion (C),Animal,"Jian Yan, et al. Histone H3 lysine 4 monomethylation modulates long-range chromatin interactions at enhancers. (2018)",https://doi.org/10.1038/cr.2018.1,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fcr.2018.1/MediaObjects/41422_2018_Article_BFcr20181_Fig1_HTML.jpg
,catalytic,"Histone 
Ser/Thr 
phosphorylation",dMSK1,SpdCas9,Direct fusion (C),Human,"Jing Li, et al. Programmable human histone phosphorylation and gene activation using a CRISPR/Cas9-based chromatin kinase. (2021)",https://doi.org/10.1038/s41467-021-21188-2,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-021-21188-2/MediaObjects/41467_2021_21188_Fig1_HTML.png
,catalytic,"Histone 
Ser/Thr 
phosphorylation",MSK1,SpdCas9,Direct fusion (C),Human,"Jing Li, et al. Programmable human histone phosphorylation and gene activation using a CRISPR/Cas9-based chromatin kinase. (2021)",https://doi.org/10.1038/s41467-021-21188-2,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-021-21188-2/MediaObjects/41467_2021_21188_Fig1_HTML.png
,catalytic,Histone lysine acetylation (activation),CPBHAT,SpdCas9,"Direct fusion (C), PUFa-fusion (N,C)",Human,"Albert W Cheng, et al. Casilio: a versatile CRISPR-Cas9-Pumilio hybrid for gene regulation and genomic labeling. (2016)",https://doi.org/10.1038/cr.2016.3,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fcr.2016.3/MediaObjects/41422_2016_Article_BFcr20163_Fig1_HTML.jpg
,catalytic,ARG citrullination,PPAD,SpdCas9,Direct fusion (N),"Human, Animal","Xiaoya Zhang, et al.""A programmable CRISPR/dCas9-based epigenetic editing system enabling loci-targeted histone citrullination and precise transcription regulation"". (2024)",https://doi.org/10.1016/j.jgg.2024.05.010,https://ars.els-cdn.com/content/image/1-s2.0-S1673852724001231-gr1.jpg
,noncatalytic,repression histone modifications,KRAB,SpdCas9,"Direct fusion (N), Direct fusion (C)","Human, Animal, Plant","1. Luke A. Gilbert, et al. CRISPR-Mediated Modular RNA-Guided Regulation of Transcription in Eukaryotes. (2013); 
2. Alok A, Chauhan H, Rout B, Pandey A, Singh K. CRISPR/dCas9-KRAB mediated transcriptional suppression of NtbHLH47 enhances tolerance to iron stress and modulates iron content in tobacco. (2025)","https://doi.org/10.1016%2Fj.cell.2013.06.044;
https://doi.org/10.1016/j.plantsci.2025.112449","https://ars.els-cdn.com/content/image/1-s2.0-S009286741300826X-fx1.jpg ;
https://ars.els-cdn.com/content/image/1-s2.0-S0168945225000676-gr1.jpg "
,noncatalytic,repression histone modifications,KRAB,SadCas9,Direct fusion (C),"Human, Animal","Thakore, P.I., Kwon, J.B., Nelson, C.E. et al. RNA-guided transcriptional silencing in vivo with S. aureus CRISPR-Cas9 repressors. (2017)",https://doi.org/10.1038/s41467-018-04048-4,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-018-04048-4/MediaObjects/41467_2018_4048_Fig1_HTML.jpg
,No effect,repression histone modifications,KRAB,AsdCas12a,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Peter Stepper, et al. Efficient targeted DNA methylation with chimeric dCas9–Dnmt3a–Dnmt3L methyltransferase. (2016)",https://doi.org/10.1093/nar/gkw1112,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/4/10.1093_nar_gkw1112/5/m_gkw1112fig1.jpeg?Expires=1747879759&Signature=pm9Vs20EEE8hXwiNDOObryflV6hYL32li-n410VVO1I-JocuYCRgFh3SOXR61CcNUhTxNMiTmQ7rK52EP~mPugqH~0C0RD2eNGQQDXCHb-FqJ3KdDX9IuPazCobmDH-DTdM92ujJatIVUMWNV0n3AMRCkGpr7vqBaZJwuygdbbLOxwq8SWKuHbV8f4zI8rYOl093EtQPXEZbUkW6A58JvUVM9vd~cmdVxcXnuyyrgU6OvWAKuJxI2U8Dn1HdnV74bZSctNxxiofbKEUtbZYN09fW2FFHgbWbEfhc0Rz6r8ZtgPo~JljdOKhbFkTOtJuKSdWe4JEqIXJ9T0aRdHQq7w__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic ,repression histone modifications,KRAB+ MECP2,SpdCas9,Direct fusion (C),"Human, Animal","Nan Cher Yeo, et al. An enhanced CRISPR repressor for targeted mammalian gene regulation. (2018)",https://doi.org/10.1038/s41592-018-0048-5,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41592-018-0048-5/MediaObjects/41592_2018_48_Fig1_HTML.png
,catalytic,Histone methylation H3K9,G9A,SpdCas9,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic (no effect in study),Histone methylation H3K9,G9A,AsdCas12a,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,histone methylation  H3K27 (repression),EZH2 (FL),SpdCas9,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic (no effect in study),histone methylation  H3K27 (repression),EZH2 (FL),AsdCas12a,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,histone methylation  H3K27 (repression),EZH2 (SET),SpdCas9,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,"Increase in H3K9 trimethylation
(Gene repression)",SUV39H1,SpdCas9,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic (no effect in study),"Increase in H3K9 trimethylation
(Gene repression)",SUV39H1,AsdCas12a,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,"Increase in H3K9 trimethylation
(Gene repression)",HP1,dCas9,,,"Henriette O’Geen, et al. Ezh2-dCas9 and KRAB-dCas9 enable engineering of epigenetic memory in a context-dependent manner. (2019)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,histone methylation  H3K27 (repression),FOG1,SpdCas9,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic (no effect in study),histone methylation  H3K27 (repression),FOG1,AsdCas12a,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,"Histone lysine merilation (repression)
H4K20me3",scFv-KMT5C,SpdCas9,scFv-KMT5C-GCN4 binding (SunTag),Animal,"Policarpi, C., Munafò, M., Tsagkris, S. et al. Systematic epigenome editing captures the context-dependent instructive function of chromatin modifications. (2024)","https://doi.org/10.1038/s41588-024-01706-w
",https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41588-024-01706-w/MediaObjects/41588_2024_1706_Fig1_HTML.png
,catalytic,"Histone lysine demethylation
Removal of H3K4me2
(Gene repression)",LSD1,NmdCas9,Direct fusion (C),Animal,"Kearns, N., Pham, H., Tabak, B. et al. Functional annotation of native enhancers with a Cas9–histone demethylase fusion. (2015)",https://doi.org/10.1038/nmeth.3325,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fnmeth.3325/MediaObjects/41592_2015_Article_BFnmeth3325_Fig1_HTML.jpg
,catalytic,"Histone lysine demethylation
Removal of H3K4me2
(Gene repression)",LSD1,SpdCas9,Direct fusion (N),Human,"Li, K., Liu, Y., Cao, H. et al. Interrogation of enhancer function by enhancer-targeting CRISPR epigenetic editing. (2019)","https://doi.org/10.1038/s41467-020-14362-5

",https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-020-14362-5/MediaObjects/41467_2020_14362_Fig1_HTML.png
,catalytic,H3K27 deacetylation,HDAC3,SpdCas9,Direct fusion (C),Animal,"Kwon, D., Zhao, YT., Lamonica, J. et al. Locus-specific histone deacetylation using a synthetic CRISPR-Cas9-based HDAC. (2017)",https://doi.org/10.1038/ncomms15315,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fncomms15315/MediaObjects/41467_2017_Article_BFncomms15315_Fig1_HTML.jpg
,catalytic,H3K27 deacetylation,HDAC8,SpdCas9,Direct fusion (C),Animal,"Chen LF, Lin YT, et al. Enhancer Histone Acetylation Modulates Transcriptional Bursting Dynamics of Neuronal Activity-Inducible Genes. (2019)",https://doi.org/10.1016/j.celrep.2019.01.032,https://ars.els-cdn.com/content/image/1-s2.0-S2211124719300415-fx1.jpg
,catalytic,H3/H4 histone deacetylation,SIR2a,SpdCas9,Direct fusion (C),Plasmodium,"Xiao B, Yin S, Hu Y, et al. Epigenetic editing by CRISPR/dCas9 in Plasmodium falciparum. (2019)",https://doi.org/10.1073/pnas.1813542116,https://www.pnas.org/cms/10.1073/pnas.1813542116/asset/c34e6601-c4ed-4d27-b009-55052699ceb5/assets/graphic/pnas.1813542116fig01.jpeg
,catalytic,H2AK119 ubiquitination,scFv-RING1B,SpdCas9,scFv-RING1B-GCN4 (SunTag),Animal,"Policarpi, C., Munafò, M., Tsagkris, S. et al. Systematic epigenome editing captures the context-dependent instructive function of chromatin modifications. (2024)","https://doi.org/10.1038/s41588-024-01706-w
",https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41588-024-01706-w/MediaObjects/41588_2024_1706_Fig1_HTML.png
,catalytic,histone methylation  H3K9 (repression),SUV,SpdCas9,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, Chonghua Ren, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic (no effect in study),histone methylation  H3K9 (repression),SUV,AsdCas12a,"Direct fusion (C), Direct fusion (N), Direct fusion (N+C)",Human,"Henriette O’Geen, Chonghua Ren, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
